End Date,End Time,PM10,Status/units,Period
27/06/2018,15:00:00,31.7,R ugm-3 (VCM),27/06/2018 15:00
27/06/2018,16:00:00,29.8,R ugm-3 (VCM),27/06/2018 16:00
27/06/2018,17:00:00,36.7,R ugm-3 (VCM),27/06/2018 17:00
27/06/2018,18:00:00,37.6,R ugm-3 (VCM),27/06/2018 18:00
27/06/2018,19:00:00,28.6,R ugm-3 (VCM),27/06/2018 19:00
27/06/2018,20:00:00,18.2,R ugm-3 (VCM),27/06/2018 20:00
27/06/2018,21:00:00,23.8,R ugm-3 (VCM),27/06/2018 21:00
27/06/2018,22:00:00,22.4,R ugm-3 (VCM),27/06/2018 22:00
27/06/2018,23:00:00,18.3,R ugm-3 (VCM),27/06/2018 23:00
27/06/2018,24:00:00,18.1,R ugm-3 (VCM),28/06/2018 00:00
28/06/2018,01:00:00,13.6,R ugm-3 (VCM),28/06/2018 01:00
28/06/2018,02:00:00,5.2,R ugm-3 (VCM),28/06/2018 02:00
28/06/2018,03:00:00,12.9,R ugm-3 (VCM),28/06/2018 03:00
28/06/2018,04:00:00,16.5,R ugm-3 (VCM),28/06/2018 04:00
28/06/2018,05:00:00,21.6,R ugm-3 (VCM),28/06/2018 05:00
28/06/2018,06:00:00,28.3,R ugm-3 (VCM),28/06/2018 06:00
28/06/2018,07:00:00,28.8,R ugm-3 (VCM),28/06/2018 07:00
28/06/2018,08:00:00,30.3,R ugm-3 (VCM),28/06/2018 08:00
28/06/2018,09:00:00,29.4,R ugm-3 (VCM),28/06/2018 09:00
28/06/2018,10:00:00,19.6,R ugm-3 (VCM),28/06/2018 10:00
28/06/2018,11:00:00,18.2,R ugm-3 (VCM),28/06/2018 11:00
28/06/2018,12:00:00,26.4,R ugm-3 (VCM),28/06/2018 12:00
28/06/2018,13:00:00,27.1,R ugm-3 (VCM),28/06/2018 13:00
28/06/2018,14:00:00,21.8,R ugm-3 (VCM),28/06/2018 14:00
28/06/2018,15:00:00,34,R ugm-3 (VCM),28/06/2018 15:00
28/06/2018,16:00:00,23.5,R ugm-3 (VCM),28/06/2018 16:00
28/06/2018,17:00:00,31.2,R ugm-3 (VCM),28/06/2018 17:00
28/06/2018,18:00:00,30.3,R ugm-3 (VCM),28/06/2018 18:00
28/06/2018,19:00:00,30.1,R ugm-3 (VCM),28/06/2018 19:00
28/06/2018,20:00:00,36.5,R ugm-3 (VCM),28/06/2018 20:00
28/06/2018,21:00:00,31.9,R ugm-3 (VCM),28/06/2018 21:00
28/06/2018,22:00:00,17.8,R ugm-3 (VCM),28/06/2018 22:00
28/06/2018,23:00:00,14.6,R ugm-3 (VCM),28/06/2018 23:00
28/06/2018,24:00:00,12.3,R ugm-3 (VCM),29/06/2018 00:00
29/06/2018,01:00:00,20.4,R ugm-3 (VCM),29/06/2018 01:00
29/06/2018,02:00:00,11.3,R ugm-3 (VCM),29/06/2018 02:00
29/06/2018,03:00:00,12,R ugm-3 (VCM),29/06/2018 03:00
29/06/2018,04:00:00,7.8,R ugm-3 (VCM),29/06/2018 04:00
29/06/2018,05:00:00,14.2,R ugm-3 (VCM),29/06/2018 05:00
29/06/2018,06:00:00,23.5,R ugm-3 (VCM),29/06/2018 06:00
29/06/2018,07:00:00,25.1,R ugm-3 (VCM),29/06/2018 07:00
29/06/2018,08:00:00,22.2,R ugm-3 (VCM),29/06/2018 08:00
29/06/2018,09:00:00,18.2,R ugm-3 (VCM),29/06/2018 09:00
29/06/2018,10:00:00,15,R ugm-3 (VCM),29/06/2018 10:00
29/06/2018,11:00:00,27,R ugm-3 (VCM),29/06/2018 11:00
29/06/2018,12:00:00,27.8,R ugm-3 (VCM),29/06/2018 12:00
29/06/2018,13:00:00,31.5,R ugm-3 (VCM),29/06/2018 13:00
29/06/2018,14:00:00,32.2,R ugm-3 (VCM),29/06/2018 14:00
29/06/2018,15:00:00,28.1,R ugm-3 (VCM),29/06/2018 15:00
29/06/2018,16:00:00,26.8,R ugm-3 (VCM),29/06/2018 16:00
29/06/2018,17:00:00,28.1,R ugm-3 (VCM),29/06/2018 17:00
29/06/2018,18:00:00,44.3,R ugm-3 (VCM),29/06/2018 18:00
29/06/2018,19:00:00,37.4,R ugm-3 (VCM),29/06/2018 19:00
29/06/2018,20:00:00,32,R ugm-3 (VCM),29/06/2018 20:00
29/06/2018,21:00:00,24.9,R ugm-3 (VCM),29/06/2018 21:00
29/06/2018,22:00:00,13.5,R ugm-3 (VCM),29/06/2018 22:00
29/06/2018,23:00:00,14.2,R ugm-3 (VCM),29/06/2018 23:00
29/06/2018,24:00:00,15.4,R ugm-3 (VCM),30/06/2018 00:00
30/06/2018,01:00:00,15.4,R ugm-3 (VCM),30/06/2018 01:00
30/06/2018,02:00:00,13.6,R ugm-3 (VCM),30/06/2018 02:00
30/06/2018,03:00:00,12.2,R ugm-3 (VCM),30/06/2018 03:00
30/06/2018,04:00:00,15.6,R ugm-3 (VCM),30/06/2018 04:00
30/06/2018,05:00:00,16.5,R ugm-3 (VCM),30/06/2018 05:00
30/06/2018,06:00:00,15.1,R ugm-3 (VCM),30/06/2018 06:00
30/06/2018,07:00:00,13.4,R ugm-3 (VCM),30/06/2018 07:00
30/06/2018,08:00:00,22.3,R ugm-3 (VCM),30/06/2018 08:00
30/06/2018,09:00:00,22.8,R ugm-3 (VCM),30/06/2018 09:00
30/06/2018,10:00:00,20.5,R ugm-3 (VCM),30/06/2018 10:00
30/06/2018,11:00:00,19.1,R ugm-3 (VCM),30/06/2018 11:00
30/06/2018,12:00:00,27.1,R ugm-3 (VCM),30/06/2018 12:00
30/06/2018,13:00:00,19.3,R ugm-3 (VCM),30/06/2018 13:00
30/06/2018,14:00:00,24.9,R ugm-3 (VCM),30/06/2018 14:00
30/06/2018,15:00:00,24.7,R ugm-3 (VCM),30/06/2018 15:00
30/06/2018,16:00:00,24.1,R ugm-3 (VCM),30/06/2018 16:00
30/06/2018,17:00:00,27.5,R ugm-3 (VCM),30/06/2018 17:00
30/06/2018,18:00:00,25.8,R ugm-3 (VCM),30/06/2018 18:00
30/06/2018,19:00:00,19.8,R ugm-3 (VCM),30/06/2018 19:00
30/06/2018,20:00:00,19.3,R ugm-3 (VCM),30/06/2018 20:00
30/06/2018,21:00:00,31.2,R ugm-3 (VCM),30/06/2018 21:00
30/06/2018,22:00:00,19.8,R ugm-3 (VCM),30/06/2018 22:00
30/06/2018,23:00:00,20.2,R ugm-3 (VCM),30/06/2018 23:00
30/06/2018,24:00:00,13.3,R ugm-3 (VCM),01/07/2018 00:00
01/07/2018,01:00:00,17.7,R ugm-3 (VCM),01/07/2018 01:00
